WV5.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:sram.sw1,v(qout2),,,V,
,
Signal->v(qout2),
X-axis,Value,
 7.460E-01, 9.890E-01,
 7.470E-01, 9.876E-01,
 7.480E-01, 9.862E-01,
 7.490E-01, 9.849E-01,
 7.500E-01, 9.835E-01,
 7.510E-01, 9.821E-01,
 7.520E-01, 9.807E-01,
 7.530E-01, 9.793E-01,
 7.540E-01, 9.780E-01,
 7.550E-01, 9.766E-01,
 7.560E-01, 9.752E-01,
 7.570E-01, 9.738E-01,
 7.580E-01, 9.725E-01,
 7.590E-01, 9.711E-01,
 7.600E-01, 9.697E-01,
 7.610E-01, 9.683E-01,
 7.620E-01, 9.670E-01,
 7.630E-01, 9.656E-01,
 7.640E-01, 9.642E-01,
 7.650E-01, 9.629E-01,
 7.660E-01, 9.615E-01,
 7.670E-01, 9.602E-01,
 7.680E-01, 9.588E-01,
 7.690E-01, 9.574E-01,
 7.700E-01, 9.561E-01,
 7.710E-01, 9.547E-01,
 7.720E-01, 9.534E-01,
 7.730E-01, 9.520E-01,
 7.740E-01, 9.507E-01,
 7.750E-01, 9.493E-01,
 7.760E-01, 9.479E-01,
 7.770E-01, 9.466E-01,
 7.780E-01, 9.452E-01,
 7.790E-01, 9.439E-01,
 7.800E-01, 9.425E-01,
 7.810E-01, 9.412E-01,
 7.820E-01, 9.399E-01,
 7.830E-01, 9.385E-01,
 7.840E-01, 9.372E-01,
 7.850E-01, 9.358E-01,
 7.860E-01, 9.345E-01,
 7.870E-01, 9.331E-01,
 7.880E-01, 9.318E-01,
 7.890E-01, 9.305E-01,
 7.900E-01, 9.291E-01,
 7.910E-01, 9.278E-01,
 7.920E-01, 9.265E-01,
 7.930E-01, 9.251E-01,
 7.940E-01, 9.238E-01,
 7.950E-01, 9.225E-01,
 7.960E-01, 9.211E-01,
 7.970E-01, 9.198E-01,
 7.980E-01, 9.185E-01,
